Source,Predator scientific name,Prey scientific name,duration,duration1,duration_notes,units,locale,country,country_notes
S?rnes and Aksnes 2004 LIMNOLOGY AND OCEANOGRAPHY,Gobiusculus flavescens,Artemia sp.,NA,NA,NA,NA,NA,NA,NA
Bergman 1988 J OF ANIMAL ECOLOGY,Perca fluviatilis,Daphnia magna,NA,NA,NA,NA,NA,NA,NA
Bergman 1988 J OF ANIMAL ECOLOGY,Gymnocephalus cernua,Daphnia magna,NA,NA,NA,NA,NA,NA,NA
Bergman 1988 J OF ANIMAL ECOLOGY,Perca fluviatilis,Chaoborus obscuripes,NA,NA,NA,NA,NA,NA,NA
Bergman 1988 J OF ANIMAL ECOLOGY,Gymnocephalus cernua,Chaoborus obscuripes,NA,NA,NA,NA,NA,NA,NA
Anderson et al 1978 J ANIM ECOL,Danio rerio,Daphnia magna,NA,NA,NA,NA,NA,NA,NA
Gulbrandsen 1991 AQUACULTURE,Hippoglossus hippoglossus,Brachionus plicatilis,NA,NA,NA,NA,NA,NA,NA
Lyon et al 2018 FOOD WEBS,Hogna baltimoriana,Acheta domesticus,NA,NA,NA,NA,NA,NA,NA
Lyon et al 2018 FOOD WEBS,Hogna baltimoriana,Caelifera,NA,NA,NA,NA,NA,NA,NA
Walker and Rypstra 2002 CAN J ZOOL,Tigrosa helluo (Hogna helluo),Acheta domesticus,NA,NA,NA,NA,NA,NA,NA
Walker and Rypstra 2002 CAN J ZOOL,Pardosa milvina,Acheta domesticus,NA,NA,NA,NA,NA,NA,NA
"Denno, Gratton, Dobel, Finke 2003 Ecology",Pardosa littoralis,Prokelisia marginata,NA,NA,NA,NA,NA,NA,NA
"Denno, Gratton, Dobel, Finke 2003 Ecology",Pardosa littoralis,Prokelisia dolus,NA,NA,NA,NA,NA,NA,NA
"Denno, Gratton, Dobel, Finke 2003 Ecology",Pardosa littoralis,Delphacodes penedetecta,NA,NA,NA,NA,NA,NA,NA
"Denno, Gratton, Dobel, Finke 2003 Ecology",Pardosa littoralis,Sanctanus aestuarium,NA,NA,NA,NA,NA,NA,NA
"Denno, Gratton, Dobel, Finke 2003 Ecology",Pardosa littoralis,Trigonotylus uhleri,NA,NA,NA,NA,NA,NA,NA
Finke and Denno 2002 ECOLOGY,Pardosa littoralis,Prokelisia dolus,NA,NA,NA,NA,NA,NA,NA
Finke and Denno 2002 ECOLOGY,Pardosa littoralis,Tytthus vagus,NA,NA,NA,NA,NA,NA,NA
Hardman and Turnbull 1974 J ANIM ECOL,Pardosa vancouveri,Drosophila melanogaster,NA,NA,NA,NA,NA,NA,NA
Provencher and Coderre 1987 ENVIRON ENTOMOL,Clubiona pikei,Rhopalosiphum padi,NA,NA,NA,NA,NA,NA,NA
Provencher and Coderre 1987 ENVIRON ENTOMOL,Clubiona pikei,Rhopalosiphum maidis,NA,NA,NA,NA,NA,NA,NA
Provencher and Coderre 1987 ENVIRON ENTOMOL,Tetragnatha laboriosa,Rhopalosiphum padi,NA,NA,NA,NA,NA,NA,NA
Provencher and Coderre 1987 ENVIRON ENTOMOL,Tetragnatha laboriosa,Rhopalosiphum maidis,NA,NA,NA,NA,NA,NA,NA
Pekar 2005 BIO CONTROL,Zodarion rubidum,Tetramorium caespitum,NA,NA,NA,NA,NA,NA,NA
Vucic-Pestic et al. 2010 PEDOBIO,Pardosa lugubris ,Heteromurus nitidus ,NA,NA,NA,NA,NA,NA,NA
Schmidt et al. 2014 OCEOL,Pardosa milvina,Acheta domesticus,NA,NA,NA,NA,NA,NA,NA
Khan 2013 The Bioscan,Pardosa altitudis,Brevicoryne brassicae ,NA,NA,NA,NA,NA,NA,NA
Khan 2013 The Bioscan,Leucauge celebesiana ,Brevicoryne brassicae ,NA,NA,NA,NA,NA,NA,NA
Khan 2013 The Bioscan,Neoscona rumpfi ,Brevicoryne brassicae ,NA,NA,NA,NA,NA,NA,NA
Khan 2013 The Bioscan,Theridion manjithar ,Brevicoryne brassicae ,NA,NA,NA,NA,NA,NA,NA
Monzo et al. 2008 BIOCONTROL,Pardosa cribata,Ceratitis capitata,NA,NA,NA,NA,NA,NA,NA
Monzo et al. 2008 BIOCONTROL,Pardosa cribata,Myzus persicae,NA,NA,NA,NA,NA,NA,NA
Palanichamy 1983 PROC INDIAN ACAD SCI,Cyrtophora cicatrosa ,Culex fatigans ,NA,NA,NA,NA,NA,NA,NA
Palanichamy 1983 PROC INDIAN ACAD SCI,Marpissa calcutaensis ,Culex fatigans ,NA,NA,NA,NA,NA,NA,NA
Buckel and Stoner 2000 J EXP MAR BIO ECOL,Pomatomus saltatrix,"Menidia menidia, Morone saxatilis",NA,NA,NA,NA,NA,NA,NA
Hassanpour et al 2010 INS SCI,Chrysoperla carnea,Helicoverpa armigera,NA,NA,NA,NA,NA,NA,NA
Parajulee 2006 ENVIRON ENTOMOL,Nabis capsiformis,Helicoverpa zea,NA,NA,NA,NA,NA,NA,NA
Parajulee 2006 ENVIRON ENTOMOL,Orius insidiosus,Helicoverpa zea,NA,NA,NA,NA,NA,NA,NA
Shrestha and Enkegaard 2013 J INS SCI,Chrysoperla carnea,Nasonovia ribisnigri,NA,NA,NA,NA,NA,NA,NA
Shrestha and Enkegaard 2013 J INS SCI,Chrysoperla carnea,Frankliniella occidentalis,NA,NA,NA,NA,NA,NA,NA
Khan 2012 ORYZA,Pardosa altitudis ,Oxya nitidula ,NA,NA,NA,NA,NA,NA,NA
Khan 2012 ORYZA,Tetragnatha maxillosa ,Oxya nitidula ,NA,NA,NA,NA,NA,NA,NA
Khan 2012 ORYZA,Neoscona mukherjei ,Oxya nitidula ,NA,NA,NA,NA,NA,NA,NA
Khan 2012 ORYZA,Theridion sp. ,Oxya nitidula ,NA,NA,NA,NA,NA,NA,NA
Hassell et al 1977 J OF ANIMAL ECOLOGY,Aphidius uzbeckistanicus,Hylopteroides humilis,NA,NA,NA,NA,NA,NA,NA
Hassell et al 1977 J OF ANIMAL ECOLOGY,Aphidius uzbeckistanicus,Metopolophium dirhodum,NA,NA,NA,NA,NA,NA,NA
Turnbull 1962 CANADIAN ENTOMOL,Linyphia triangularis,Drosophila melanogaster,NA,NA,NA,NA,NA,NA,NA
DeMott 1982 LIMNO OCEANO,Daphnia rosea ,Chlamydomonas reinhardi,NA,NA,NA,NA,NA,NA,NA
DeMott 1982 LIMNO OCEANO,Bosmina longirostris ,Chlamydomonas reinhardi,NA,NA,NA,NA,NA,NA,NA
Burns & Rigler 1967 LIMNO OCEANO,Daphnia rosea ,Rhodotorula glutinis,NA,NA,NA,NA,NA,NA,NA
Porter et al 1982 LIMNO OCEANO,Daphnia magna ,Chlamydomonas reinhardi ,NA,NA,NA,NA,NA,NA,NA
McMahon et al 1965 LIMNO OCEANO,Daphnia magna ,Escherichia coli ,NA,NA,NA,NA,NA,NA,NA
McMahon et al 1965 LIMNO OCEANO,Daphnia magna ,Chlorella vulgaris,NA,NA,NA,NA,NA,NA,NA
McMahon et al 1965 LIMNO OCEANO,Daphnia magna ,Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA
McMahon et al 1965 LIMNO OCEANO,Daphnia magna ,Tetrahymena pyriformis,NA,NA,NA,NA,NA,NA,NA
McQueen 1968 J OF THE FISH RESEARCH BOARD OF CAN,Cyclops bicuspidatus thomasi,Cyclops bicuspidatus thomasi,NA,NA,NA,NA,NA,NA,NA
McQueen 1968 J OF THE FISH RESEARCH BOARD OF CAN,Cyclops bicuspidatus thomasi,Diaptomus oregonensis and Diaptomus hesperus,NA,NA,NA,NA,NA,NA,NA
McQueen 1968 J OF THE FISH RESEARCH BOARD OF CAN,Cyclops bicuspidatus thomasi,Ceriodaphnia sp.,NA,NA,NA,NA,NA,NA,NA
McQueen 1968 J OF THE FISH RESEARCH BOARD OF CAN,Cyclops bicuspidatus thomasi,Keratella cochlearis,NA,NA,NA,NA,NA,NA,NA
Rigler 1961 CANADIAN J OF ZOO,Daphnia magna ,Saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA
Ryther 1954 ECO,Daphnia magna ,Chlorella vulgaris,NA,NA,NA,NA,NA,NA,NA
Murdie & Hassell 1973 MATH THEORY DYNAMICS OF BIO POPS,Musca domestica,Sugar droplets,NA,NA,NA,NA,NA,NA,NA
Gotoh et al 2004 APPL ENTOMOL ZOOL,Amblyseius californicus,Tetranychus urticae,NA,NA,NA,NA,NA,NA,NA
Gotoh et al 2004 APPL ENTOMOL ZOOL,Scolothrips takahashii,Tetranychus urticae,NA,NA,NA,NA,NA,NA,NA
Losey and Denno 1998 ECOLOGY,Coccinella septempunctata and Harpalus pennsylvanicus,Acyrthosiphon pisum,NA,NA,NA,NA,NA,NA,NA
Kumar et al 2014 EUR J ENTOMOL,Coccinella transversalis and Coccinella septempunctata,Acyrthosiphon pisum,NA,NA,NA,NA,NA,NA,NA
Tenhumberg 1995 ENVIRON ENTOMOL,Episyrphus balteatus,"Sitobion avenae, Metopolophium dirhodum",NA,NA,NA,NA,NA,NA,NA
Quinn et al 2003 CAN J FISH AQUAT SCI,Ursus arctos,Oncorhynchus nerka,NA,NA,NA,NA,NA,NA,NA
Griffen and Delaney 2007 Ecology,Carcinus maenas,Mytilus edulis,NA,NA,NA,NA,NA,NA,NA
Griffen and Delaney 2007 Ecology,Hemigrapsus sanguineus,Mytilus edulis,NA,NA,NA,NA,NA,NA,NA
Taylor 1988 J ANIMAL ECO,Bracon hebetor,Anagasta kuehniella,NA,NA,NA,NA,NA,NA,NA
Taylor 1988 J ANIMAL ECO,Bracon hebetor,Plodia interpunctella,NA,NA,NA,NA,NA,NA,NA
